ID;TravelMotives;TravelModes;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3
11166;2030170;A018982;PV28    ;2018JJ00;    0.04;    0.54;    1.55
11167;2030170;A018982;PV28    ;2019JJ00;    0.05;    0.64;    1.88
11168;2030170;A018982;PV28    ;2020JJ00;    0.02;    0.25;    0.79
11169;2030170;A018982;PV28    ;2021JJ00;    0.02;    0.20;    0.68
11170;2030170;A018982;PV28    ;2022JJ00;    0.02;    0.35;    1.01
11171;2030170;A018982;PV28    ;2023JJ00;    0.03;    0.40;    1.20
11172;2030170;A018982;PV29    ;2018JJ00;       .;       .;       .
11173;2030170;A018982;PV29    ;2019JJ00;       .;       .;       .
11174;2030170;A018982;PV29    ;2020JJ00;       .;       .;       .
11175;2030170;A018982;PV29    ;2021JJ00;       .;       .;       .
11176;2030170;A018982;PV29    ;2022JJ00;       .;       .;       .
11177;2030170;A018982;PV29    ;2023JJ00;       .;       .;       .
11178;2030170;A018982;PV30    ;2018JJ00;       .;       .;       .
11179;2030170;A018982;PV30    ;2019JJ00;       .;       .;       .
11180;2030170;A018982;PV30    ;2020JJ00;       .;       .;       .
11181;2030170;A018982;PV30    ;2021JJ00;       .;       .;       .
11182;2030170;A018982;PV30    ;2022JJ00;       .;       .;       .
11183;2030170;A018982;PV30    ;2023JJ00;       .;       .;       .
11184;2030170;A018982;PV31    ;2018JJ00;       .;       .;       .
11185;2030170;A018982;PV31    ;2019JJ00;       .;       .;       .
11186;2030170;A018982;PV31    ;2020JJ00;       .;       .;       .
11187;2030170;A018982;PV31    ;2021JJ00;       .;       .;       .
11188;2030170;A018982;PV31    ;2022JJ00;       .;       .;       .
11189;2030170;A018982;PV31    ;2023JJ00;       .;       .;       .
11514;2030170;A018984;PV20    ;2018JJ00;    0.18;    0.75;    3.03
11515;2030170;A018984;PV20    ;2019JJ00;    0.18;    0.72;    2.86
11516;2030170;A018984;PV20    ;2020JJ00;    0.11;    0.56;    2.32
11517;2030170;A018984;PV20    ;2021JJ00;    0.12;    0.51;    2.49
11518;2030170;A018984;PV20    ;2022JJ00;    0.15;    0.66;    2.80
11519;2030170;A018984;PV20    ;2023JJ00;    0.15;    0.65;    2.64
11520;2030170;A018984;PV21    ;2018JJ00;    0.15;    0.61;    2.56
11521;2030170;A018984;PV21    ;2019JJ00;    0.13;    0.48;    1.99
11522;2030170;A018984;PV21    ;2020JJ00;    0.12;    0.43;    1.79
11523;2030170;A018984;PV21    ;2021JJ00;    0.13;    0.52;    2.71
11524;2030170;A018984;PV21    ;2022JJ00;    0.12;    0.41;    1.65
11525;2030170;A018984;PV21    ;2023JJ00;    0.13;    0.47;    1.94
11526;2030170;A018984;PV22    ;2018JJ00;    0.13;    0.60;    2.28
11527;2030170;A018984;PV22    ;2019JJ00;    0.14;    0.59;    2.40
